ID,頭文字,品目名,読み,類似語,出し方（一覧）,出し方（詳細）,出し方のポイント,URL1
1035,こ,コーキング材容器(プラスチック製),こーきんぐざいようき（ぷらすちっくせい）,コーキング容器,プラスチック製容器包装,,識別表示を確認して出してください。（汚れのひどいものは普通ごみとして出してください。）,
1036,こ,コースター(金属製),こーすたー（きんぞくせい）,金属のコースター ステンレスコースター,小物金属,,,
1037,こ,コースター(金属製以外),こーすたー（きんぞくせいいがい）,ラバーコースター 布のコースター,普通ごみ,,,
1038,こ,コート,こーと,オーバーコート ロングコート 外套 ウールコート ムートンコート ピーコート トレンチコート ファーコート ダッフルコート 防水コート モッズコート ニットコート ナイロンコート,資源集団回収,,布類（古着・古布等）回収にご協力お願いします。（洗ってから出してください。）/資源集団回収で回収ができない場合は拠点回収（WEBで見る）を行っています。/上記での回収が難しい場合や汚れているもの、破けているもの、ぬれているものは普通ごみとして出してください。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1039,こ,コートスタンド（金属製）,こーとすたんど（きんぞくせい）,,粗大ごみ,,,
1040,こ,コートスタンド（金属製以外）,こーとすたんど（きんぞくせいいがい）,,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1041,こ,コードレス電話,こーどれすでんわ,コードレスホン,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1042,こ,コーナーガード,こーなーがーど,,普通ごみ,,,
1043,こ,コーヒーカプセル,こーひーかぷせる,ネスプレッソカップ カプセル式コーヒー,プラスチック製容器包装,,識別表示を確認して出してください。,
1044,こ,コーヒーがら,こーひーがら,コーヒーのかす,普通ごみ,,,
1045,こ,(インスタント)コーヒーのびん,こーひーのびん（いんすたんと）,インスタントコーヒービン インスタントコーヒー容器 コーヒーの瓶 コーヒーのビン コーヒー空き瓶 コーヒ瓶 コーヒーの空き瓶 クリープ インスタントコーヒーのビン 空きビン コーヒーミルク コーヒーびん インスタントコーヒーの瓶 インスタントコーヒーの瓶の容器,空きびん,,空きびんは、袋に入れずに寝かせて空きびん入れに入れることが原則ですが、事情により空きびん入れのない場所では、透明・半透明の袋に入れて出してください。（散乱等のないよう安全には十分注意して出してください。）/金属製のふたは空き缶・ペットボトルとして、プラスチック製のふたはプラスチック製容器包装として出してください。,
1046,こ,(インスタント)コーヒーのびんの内フタ,こーひーのびんのうちふた（いんすたんと）,インスタントコーヒービン インスタントコーヒー容器 コーヒーの瓶 コーヒーのビン クリープ インスタントコーヒーのビン ビンキャップ コーヒーミルク コーヒーびん,ミックスペーパー,,汚れがひどい場合には普通ごみとして出してください。,
1047,こ,(インスタント)コーヒーのびんのキャップ,こーひーのびんのきゃっぷ（いんすたんと）,インスタントコーヒービン インスタントコーヒー容器 コーヒーの瓶 コーヒーのビン クリープ インスタントコーヒーのビン ビンキャップ コーヒーミルク コーヒーびん インスタントコーヒーの蓋,プラスチック製容器包装,,識別表示を確認して出してください。,
1048,こ,コーヒーフィルター,こーひーふぃるたー,コーヒーのろか紙 コーヒーフイルター ろ紙 コーヒーの紙パック ドリップフィルター ペーパーフィルター ドリップペーパー,普通ごみ,,未使用のものはミックスペーパーとして出してください。,
1049,こ,コーヒーミル(金属製）,こーひーみる（きんぞくせい）,珈琲ミル,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1050,こ,コーヒーミル(金属製以外),こーひーみる（きんぞくせいいがい）,珈琲ミル,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1051,こ,コーヒー・ティーメーカー,こーひーめーかー（ぷらすちっくせい）,珈琲メーカー コーヒーマシン コーヒーメイカー エスプレッソメーカー コーヒーのポット コーヒメーカー エスプレッソましん バリスタ 全自動エスプレッソマシン コーヒーマシーン ティーメーカー コーヒーサイフォン コーヒーサーバー ティーメーカー,小物金属,粗大ごみ,ガラス製ポットは普通ごみとして出してください。/最長辺30cm以上のものは粗大ごみとして出してください。,
1052,こ,氷枕,こおりまくら,アイスマクラ アイス枕 冷却枕 氷まくら アイスまくら ゼリー状水枕,普通ごみ,,金属部分は小物金属として出してください。,
1053,こ,小型印刷機,こがたいんさつき,プリントごっこ ぷりんとごっこ プリントゴッコ,小物金属,粗大ごみ,最長辺30cm未満のものは小物金属として出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1054,こ,小型血糖測定器専用電極,こがたけっとうそくていきせんようでんきょく,グルテストセンサー,小物金属,,,
1055,こ,呼吸器官用薬(エアゾール缶),こきゅうきかんようくすりえあぞーるかん,キュバール 吸入スプレー アドエアー メプチンエアー スプレー吸入器 薬吸入器 喘息吸入器,空き缶・ペットボトル,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください）/中身が出せない場合は「中身入り」と張り紙をして小物金属で出してください。,
1056,こ,黒板（金属製）,こくばん（きんぞくせい）,ホワイトボード,粗大ごみ,小物金属,姿見・つい立（板状）・トタン板・波板・風呂ふた・コタツ板・額縁・ベニヤ板・すのこ・鉄板類・ホワイトボード（板のみ）・黒板（板のみ）・一斗缶（板状につぶしたもの）・つっぱり棚は、5枚を1個の粗大ごみとして出すことができます。/最長辺30cm未満のものは小物金属として出してください。,
1057,こ,黒板（金属製以外）,こくばん（きんぞくせいいがい）,ホワイトボード,粗大ごみ,普通ごみ,姿見・つい立（板状）・トタン板・波板・風呂ふた・コタツ板・額縁・ベニヤ板・すのこ・鉄板類・ホワイトボード（板のみ）・黒板（板のみ）・一斗缶（板状につぶしたもの）・つっぱり棚は、5枚を1個の粗大ごみとして出すことができます。/最長辺50cm未満のものは普通ごみとして出してください。,
1058,こ,黒板消し,こくばんけし,ホワイトボードイレイザー,普通ごみ,,,
1059,こ,固形化した廃油,こけいかしたはいゆ,ポイパック オイルパックリ 廃油処理箱 オイル処理箱 保革着色油 オイルパックン 使用済み油 オイル処理パック 固めるテンプル,普通ごみ,,,
1060,こ,固形燃料,こけいねんりょう,着火剤 着火燃料 固型燃料 着火材 非常用固形燃料 キャンプ固形燃料,普通ごみ,,,
1061,こ,こけし,こけし,コケシ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1062,こ,コサージュ（金属製）,こさーじゅ（きんぞくせい）,,小物金属,,,
1063,こ,コサージュ（金属製以外）,こさーじゅ（きんぞくせいいがい）,,普通ごみ,,,
1064,こ,濾し器(金属製),こしき（きんぞくせい）,ストレーナー ちゃこし 茶漉し 茶こし 裏ごし 裏漉し網 漉し網 急須の網 茶漉し網 急須のあみ 味噌漉し,小物金属,,最長辺30cm以上のものは粗大ごみとして出してください。,
1065,こ,濾し器(金属製以外),こしき（きんぞくせいいがい）,ストレーナー ちゃこし 茶漉し 茶こし 裏ごし 裏漉し網 漉し網 急須の網 茶漉し網 急須のあみ 味噌漉し,普通ごみ,,,
1066,こ,腰袋,こしぶくろ,,普通ごみ,,,
1067,こ,コゼー,こぜー,,普通ごみ,,,
1068,こ,こたつ,こたつ,炬燵  コタツ 電気ごたつ 赤外線こたつ 電気こたつ 電気コタツ こたつ台 コタツ台 こたつテーブル 椅子の脚 電気炬燵,粗大ごみ,,こたつとこたつ板は1セットとして出すことができます。,
1069,こ,こたつ椅子の足(金属製),こたついすのあし（きんぞくせい）,椅子の脚 椅子脚,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1070,こ,こたつ板,こたついた,,粗大ごみ,,こたつとこたつ板は1セットとして出すことができます。,
1071,こ,こたつカバー(こたつ布団のカバー),こたつかばー（こたつふとんのかばー）,こたつ布団の上掛け こたつふとん こたつぶとん コタツ布団 こたつ掛け布団 こたつがけ 炬燵布団 コタツカバー コタツ掛けぶとん,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1072,こ,こたつ敷き,こたつしき,こたつふとん こたつぶとん コタツ布団 炬燵布団 コタツ敷き布団 コタツマット コタツ敷き こたつ敷き布団  こたつじき こたつ中敷き こたつ敷物 炬燵敷き こたつ敷布団 コタツ敷布団 こたつ敷マット こたつ敷布団 こたつマット,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1073,こ,こたつ椅子の足(金属製以外),こたつてーぶる、いすのあし（きんぞくせいいがい）,テーブルの脚 テーブルの足 コタツの足 椅子の脚 椅子脚 テーブル足 こたつの足 コタツの脚 机の脚,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1074,こ,こたつテーブルの足(金属製),こたつてーぶるのあし（きんぞくせい）,テーブルの脚 テーブルの足 コタツの足 テーブル足 こたつの足 コタツの脚 机の脚,粗大ごみ,小物金属,こたつとこたつ板は1セットとして出すことができます。/最長辺30cm未満のものは小物金属として出してください。,
1075,こ,こたつテーブルの足(金属製以外),こたつてーぶるのあし（きんぞくせいいがい）,テーブルの脚 テーブルの足 コタツの足 テーブル足 こたつの足 コタツの脚 机の脚,普通ごみ,粗大ごみ,こたつとこたつ板は1セットとして出すことができます。/最長辺50cm以上のものは粗大ごみとして出してください。,
1076,こ,こたつヒーターユニット,こたつひーたーゆにっと,コタツヒーターユニット 電気こたつ こたつユニット 炬燵ヒーターユニット こたつのヒーター コタツのヒーター コタツ電熱器 コタツのヒーター 炬燵のヒーター こたつの電気ユニット,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1077,こ,こたつ布団,こたつぶとん,こたつふとん こたつぶとん コタツ布団 こたつ掛け布団 こたつがけ 炬燵布団 こたつ布団 こたつ掛布団 コタツ蒲団 コタツぶとん コタツふとん コタツフトン こたつ上掛け コタツ掛け布団 こたつのふとん こたつがけ布団 こたつかけ コタツかけ布団 こたつの布団 炬燵ふとん こたつ掛けふとん,粗大ごみ,普通ごみ,広がらないように折りたたみ、ひもで縛るなどして出してください。/排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1078,こ,コップ(金属製),こっぷ（きんぞくせい）,ステンレスコップ アルミのコップ 鉄カップ ステンレスカップ ステンレスマグ スチールカップ スチール製のカップ ステンレスマグカップ ステンレスのコップ アルミコップ 金属コップ,小物金属,,,
1079,こ,コップ立て(金属以外),こっぷたて（きんぞくいがい）,コップたて,普通ごみ,,,
1080,こ,コップ立て(金属製),こっぷたて（きんぞくせい）,コップたて,小物金属,,,
1081,こ,コップ(プラスチック製),こっぷ（ぷらすちっくせい）,プラスチックコップ プラスチックカップ プラスティックコップ プラコップ プラスティック製コップ プラカップ インサートカップ プラスチック製コップ アクリルコップ,普通ごみ,,,
1082,こ,骨壺,こつつぼ,,普通ごみ,粗大ごみ,中身を空にして出してください。/排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1083,こ,コテ,こて（きんぞくせい）,鏝 はんだこて はんだごて 半田ごて ガスコテ 電気コテ 電気こて 左官コテ ハンダコテ 電気ごて ハンダこて ハンダゴテ,小物金属,,,
1084,こ,子ども用いす（金属製）,こどもよういす（きんぞくせい）,子ども用椅子 ベビーチェアー ベビーイス 子ども椅子 子供いす 子供イス 子供用椅子 幼児椅子 子供用いす 子供用イス 幼児用椅子 子供椅子 こどもイス こども椅子 子どもいす 子供用パイプ椅子 小さい椅子 幼児用パイプ椅子 子供用パイプいす ミニ椅子 赤ちゃんイス 子どもイス バンボ まめいす 豆いす チャイルドチェア 豆椅子 乳児用いす 豆イス 幼児用いす こども用いす こどもいす 小児いす ベビー椅子 子供用プラスチック製いす 子供の椅子 子供のいす 子供チェア 子供用補助いす 子供パイプ椅子 子供椅子 乳児いす 赤ちゃん椅子 幼児いす ベビー用椅子 子ども用イス 子供のチェア 子供用金属製椅子 赤ちゃんの椅子 子供のイス キッズチェア ベビーいす 乳幼児椅子 キャンピングホルダー テーブル付き子供椅子 キッズチェアー 子供用の小さい椅子 ベビーソファ,粗大ごみ,,最長辺30cm未満のものは小物金属として出してください。,
1085,こ,子ども用いす（金属製以外）,こどもよういす（きんぞくせいいがい）,子ども用椅子 ベビーチェアー ベビーイス 子ども椅子 子供いす 子供イス 子供用椅子 幼児椅子 子供用いす 子供用イス 幼児用椅子 子供椅子 こどもイス こども椅子 子どもいす 子供用パイプ椅子 小さい椅子 幼児用パイプ椅子 子供用パイプいす ミニ椅子 赤ちゃんイス 子どもイス バンボ まめいす 豆いす チャイルドチェア 豆椅子 乳児用いす 豆イス 幼児用いす こども用いす こどもいす 小児いす ベビー椅子 子供用プラスチック製いす 子供の椅子 子供のいす 子供チェア 子供用補助いす 子供パイプ椅子 子供椅子 乳児いす 赤ちゃん椅子 幼児いす ベビー用椅子 子ども用イス 子供のチェア 子供用金属製椅子 赤ちゃんの椅子 子供のイス キッズチェア ベビーいす 乳幼児椅子 キャンピングホルダー テーブル付き子供椅子 キッズチェアー 子供用の小さい椅子 ベビーソファ,粗大ごみ,,最長辺50cm未満のものは普通ごみとして出してください。,
1086,こ,子ども用敷きマット,こどもようしきまっと,子供用敷マット,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1087,こ,子ども用車載シート,こどもようしゃさいしーと,ジュニアシート ベビーシート,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
1088,こ,子ども用布団,こどもようふとん,ベビー布団 子どもふとん 子供用布団 子供布団 子供の布団 寝具 子供ふとん 赤ちゃん布団 ジュニア布団 こども布団 ジュニア掛け布団 ベビーフトン ベビーふとん 寝具 子ども布団 子供用ふとん ベビー掛け布団 ベビーぶとん 赤ちゃんふとん ベービー布団 子供用敷布団 こども用マットレス ベビーしき布団 べびーふとん ベビー用布団 赤ちゃん用マットレス ベビー敷布団 あかちゃん布団 こどものふとん,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。（布団・マットレス（スプリング入りを除く）を5枚で1個の粗大ごみとして出すことができます。）,
1089,こ,粉チーズの容器,こなちーずのようき,パルメザンチーズ,ミックスペーパー,,識別表示を確認して出してください。/プラスチック製容器はプラスチック製容器包装として出してください。/汚れのひどいものは普通ごみとして出してください。,
1090,こ,粉ミルクの缶,こなみくるのかん,粉ミルク缶 金属容器 ミルクかん,空き缶・ペットボトル,,,
1091,こ,コネクター,こねくたー,,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1092,こ,琥珀,こはく,,普通ごみ,,指輪など金属がついているものは小物金属として出してください。,
1093,こ,コバエ捕獲殺虫剤,こばえほかくくじょざい,コバエ駆除剤,普通ごみ,,,
1094,こ,コピー用紙,こぴーようし,印刷用紙 コピー紙 再生紙 プリンタ用紙 連続フォーム用紙 プリント用紙 プリンター用紙 A4用紙 コピーペーパー OA用紙 コピーした紙 ワープロ用紙,ミックスペーパー,,,
1095,こ,独楽,こま,こま コマ,普通ごみ,,,
1096,こ,独楽(金属製),こま（きんぞくせい）,金属製こま,小物金属,,,
1097,こ,駒(将棋・チェス等)（金属製）,こま（しょうぎ・ちぇすとう）（きんぞくせい）,将棋の駒 将棋コマ,小物金属,,,
1098,こ,駒(将棋・チェス等)（金属製以外）,こま（しょうぎ・ちぇすとう）（きんぞくせいいがい）,将棋の駒 将棋コマ,普通ごみ,,,
1099,こ,小麦粉等の袋(紙製),こむぎことうのふくろ（かみせい）,片栗粉の袋 米粉,ミックスペーパー,,汚れや粉がひどいものは普通ごみとして出してください。,
1100,こ,小麦粘土,こむぎねんど,こむぎねんど,普通ごみ,,,
1101,こ,米びつ(金属製),こめびつ（きんぞくせい）,米櫃 コメビツ ライスストッカー ライスボックス 米ストッカー 米ひつ 米の入れ物 金属米びつ,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1102,こ,米びつ(金属製以外),こめびつ（きんぞくせいいがい）,米櫃 コメビツ ライスストッカー ライスボックス 米ストッカー 米ひつ 米の入れ物 プラスチック製米櫃,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1103,こ,米袋(麻製),こめぶくろ（あさせい）,こめ袋 米のふくろ 米の袋 麻ふくろ,普通ごみ,,,
1104,こ,米袋(紙製),こめぶくろ（かみせい）,紙の米袋 こめ袋 米のふくろ 米の袋,ミックスペーパー,,,
1105,こ,米袋(ビニール製),こめぶくろ（びにーるせい）,こめ袋 米のふくろ 米の袋,プラスチック製容器包装,,,
1106,こ,コルク製のふた,こるくせいのふた,コルクふた,普通ごみ,,,
1107,こ,コルク(栓),こるく（せん）,ワインのコルク シャンパンの栓 ワイン蓋 コルク栓 ワインの栓 ワインのキャップ ワインのふた 酒ビンの蓋 酒瓶のふた コルクせん ウイスキーコルク ワインコルク ワインキャップ,普通ごみ,,,
1108,こ,コルクボード,こるくぼーど,コルク板,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1109,こ,コルクマット,こるくまっと,フローリングマット コルクタイル 床カーペット コルクカーペット,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1110,こ,コンクリートパネル,こんくりーとぱねる,コンパネ,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1111,こ,コンクリートブロック（10cm未満）,こんくりーとぶろっく（10せんちみまん）,ブロック塀 コンクリートの固まり セメントブロック ALC ブロック石 軽量気泡コンクリート コンクリート製ブロック壁 ブロック片 コンクリート塊 軽量ブロック 軽量コンクリートブロック 重量ブロック,普通ごみ,,ただし、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）,
1112,こ,コンクリートブロック（39cm以下）,こんくりーとぶろっく（39せんちいか）,ブロック塀 コンクリートの固まり セメントブロック ALC ブロック石 軽量気泡コンクリート コンクリート製ブロック壁 ブロック片 コンクリート塊 軽量ブロック 軽量コンクリートブロック 重量ブロック,粗大ごみ,,1回につき5個まで無料です。（粗大ごみの申し込みが必要です。）/なお、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）/40cm以上のものは販売店等に相談してください。,
1113,こ,コンクリートブロック（40cm以上）,こんくりーとぶろっく（40せんちいじょう）,ブロック塀 コンクリートの固まり セメントブロック ALC ブロック石 軽量気泡コンクリート コンクリート製ブロック壁 ブロック片 コンクリート塊 軽量ブロック 軽量コンクリートブロック 重量ブロック,その他,,40cm以上のものは市では収集できません。（販売店等に相談してください。）,
1114,こ,コンセントカバー,こんせんとかばー,電源コンセントのカバー 電気コンセントカバー コンセントカバー,普通ごみ,,,
1115,こ,コンソールボックス,こんそーるぼっくす,コンソールBOX,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1116,こ,コンタクトケース,こんたくとけーす,コンタクトレンズケース コンタクト容器 コンタクトレンズ保存容器 コンタクトレンズのケース,普通ごみ,,,
1117,こ,コンタクトレンズ,こんたくとれんず,使い捨てコンタクトレンズ ソフトコンタクトレンズ 使い捨てレンズ カラコン カラーコンタクト,普通ごみ,,,
1118,こ,コンタクトレンズ洗浄液ボトル,こんたくとれんずせんじょうえきぼとる,コンタクト液ボトル,プラスチック製容器包装,,識別表示を確認して出してください。,
1119,こ,コンタクトレンズ洗浄機,こんたくとれんずせんじょうき,コンタクトレンズ洗浄器 コンタクト洗浄機,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1120,こ,コンタクトレンズ(使い捨て)の容器,こんたくとれんず（つかいすて）のようき,使い捨てコンタクト容器,プラスチック製容器包装,,識別表示を確認して出してください。,
1121,こ,昆虫標本,こんちゅうひょうほん,,普通ごみ,,ガラスは厚紙等に包み「ワレモノキケン」と表示して出してください。,
1122,こ,コンテナボックス,こんてなぼっくす,コンテナケース コンテナー プラスチックコンテナ コンテナBOX 折りたたみコンテナ,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
1123,こ,コンデンサ,こんでんさ,コンデンサー,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
1124,こ,コンバイン袋,こんばいんぶくろ,,普通ごみ,,,
1125,こ,コンパクト(金属製以外),こんぱくと（きんぞくせいいがい）,化粧コンパクト 鏡付きコンパクト 化粧用コンパクト コンパクトケース 鏡付コンパクト ファンデーションコンパクト ファンデーションパクト パウダーケース,普通ごみ,,,
1126,こ,コンパス(金属製),こんぱす（きんぞくせい）,コンパスの針,小物金属,,,
1127,こ,コンプレッサー,こんぷれっさー,エアーコンプレッサー エアコンプレッサー エアータンク,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1128,こ,梱包紙,こんぽうし,,ミックスペーパー,,,
1129,こ,梱包シート(購入した商品を梱包していたもの),こんぽうしーと（こうにゅうしたしょうひんをこんぽうしていたもの）,ストレッチフィルム,プラスチック製容器包装,,,
1130,こ,梱包シート(製品として購入したもの),こんぽうしーと（せいひんとしてこうにゅうしたもの）,ストレッチフィルム,普通ごみ,,,
1131,こ,梱包バンド,こんぽうばんど,ppバンド 結束バンド 梱包用バンド ビニールバンド ナイロンバンド プラスチックバンド 荷作りバンド 荷造りバンド 包装用バンド 野菜結束テープ ピーピーバンド PPテープ 梱包ベルト 梱包用ひも 結束用バンド 梱包結束バンド 梱包プラスチックバンド,普通ごみ,,,
1132,こ,梱包用緩衝シート(プラスチック製・商品を購入した時についていたもの),こんぽうようかんしょうしーと（ぷらすちっくせい・しょうひんをこうにゅうしたときについていたもの）,ミラマット,プラスチック製容器包装,,梱包用緩衝シートを商品として購入したものを出す場合は普通ごみとして出してください。,
1133,こ,碁石,ごいし,囲碁,普通ごみ,,,
1134,こ,ゴーカート,ごーかーと,電動バッテリーカー,粗大ごみ,,バッテリーは販売店に相談してください。,
1135,こ,ゴーグル,ごーぐる,水中眼鏡 水中メガネ 水中めがね スキーゴーグル スキー眼鏡 水泳ゴーグル ダイビングマスク 水中マスク,普通ごみ,,,
1136,こ,ゴキブリ駆除剤(粘着シート製),ごきぶりくじょざい（ねんちゃくしーとせい）,ごきぶり粘着 ごきぶりほいほい ゴキブリホイホイ ゴキブリ取り,普通ごみ,,,
1137,こ,ゴキブリ駆除剤(プラケースに薬剤の入ったもの),ごきぶりくじょざい（ぷらけーすにやくざいのはいったもの）,コンバット 殺虫ダンゴ ブラックキャップ ホウ酸だんご ゴキブリほいほい ごきぶりほいほい ゴキブリキャップ ゴキブリ防虫剤 ホウ酸団子 ホウ酸ダンゴ ゴキブリ取り,普通ごみ,,,
1138,こ,ござ,ござ,茣蓙  ゴザ むしろ 御座 ご座 竹ござ 花ござ たけござ 筵 畳ゴザ 寝ござ ゴザの敷物,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1139,こ,碁笥,ごす,碁石の入れ物 碁石の器 碁の入れ物 碁の器,普通ごみ,,,
1140,こ,五徳,ごとく,5徳 ガスレンジ五徳 ゴトク,小物金属,,,
1141,こ,碁盤（50cm以上）,ごばん（50せんちいじょう）,囲碁 囲碁盤 囲碁板,粗大ごみ,,,
1142,こ,碁盤（50cm未満）,ごばん（50せんちみまん）,囲碁 囲碁盤 囲碁板,粗大ごみ,,1回につき5個まで無料です。（粗大ごみの申し込みが必要です。）,
1143,こ,ごみネット,ごみねっと,ゴミネット からすよけネット ごみ用ネット カラスネット カラスよけネット ゴミ網 いけいけネット,普通ごみ,,,
1144,こ,ごみ箱(金属製以外),ごみばこ（きんぞくせいいがい）,ゴミバコ ダストボックス ゴミ収納容器 くずかご ごみペール ごみ容器 籐のゴミ箱 ゴミペール プラスチックごみ箱 プラスチックゴミ箱 ゴミボックス ごみボックス ゴミばこ ゴミ入れ ペダルペール プラスチック製ごみ箱 ペールボックス プラスチック製ゴミ箱 ポリペール プラスチックのごみ箱 屑かご ごみいれ 木製ゴミ箱 プラスチックのゴミ箱 ごみぺーる ごみ入れポリバケツ ペールごみ箱 ダストBOX,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1145,こ,ごみ箱(金属製),ごみばこ（きんぞくせい）,ゴミバコ ゴミ箱 ダストボックス ゴミ収納容器 くずかご ごみ容器 スチールのごみばこ スチールごみ箱 ゴミボックス ごみボックス ゴミばこ ステンレスゴミ箱 ゴミばこ ゴミ入れ ペダルペール ペールボックス ステンレスごみ箱 屑かご ごみいれ 金属ゴミ箱 金属のごみ箱 金属製ごみ箱 ごみぺーる ペールごみ箱 アルミのゴミ箱 ダストBOX,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1146,こ,ごみ箱のふた（プラスチック製）,ごみばこのふた（ぷらすちっくせい）,ゴミ箱のふた ゴミ箱の蓋 ゴミ箱ふた,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1147,こ,ごみ箱のふた（金属製）,ごみばこのふた（ぷらすちっくせい）,ゴミ箱のふた ゴミ箱の蓋 ゴミ箱ふた,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1148,こ,ゴミ袋,ごみぶくろ,,普通ごみ,,,
1149,こ,ゴム管,ごむかん,,普通ごみ,,,
1150,こ,ゴムシート,ごむしーと,ゴム製シート,普通ごみ,,,
1151,こ,ゴム製品,ごむせいひん,ゴム製台 ゴムケース ゴムバケツ 天然ゴム ゴム板 ゴム版,普通ごみ,,,
1152,こ,ゴム栓,ごむせん,水道栓,普通ごみ,,,
1153,こ,ゴムチューブ,ごむちゅーぶ,ゴムバンド ダイエットチューブ,普通ごみ,,,
1154,こ,ゴム手袋・ゴム長靴,ごむてぶくろごむながぐつ,ゴム長くつ 長ぐつ ゴム手ぶくろ ラテックスグローブ 医療用手袋 炊事手袋 ゴムてぶくろ ごむ手袋 ゴム靴 ニトリル手袋 風呂靴 ゴムブーツ 炊事用手袋 ディスポグローブ,普通ごみ,,,
1155,こ,ゴムハンマー,ごむはんまー,ゴムトンカチ　プラスチックハンマー,普通ごみ,,,
1156,こ,ゴムひも,ごむひも,ゴム糸 ゴムヒモ,普通ごみ,,,
1157,こ,ゴムベラ,ごむべら,,普通ごみ,,,
1158,こ,ゴムボート,ごむぼーと,,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1159,こ,ゴムボール,ごむぼーる,ビニールボール ゴムまり カラーボール プラスチックのボール カラフルボール ゴム毬,普通ごみ,,,
1160,こ,ゴムポール,ごむぽーる,,普通ごみ,粗大ごみ,排出時の最長辺50cm以上のものは粗大ごみとして出してください。,
1161,こ,ゴムマット,ごむまっと,樹脂マット ゴム製マット 樹脂製マット,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1162,こ,ゴルフクラブ,ごるふくらぶ,アイアン ゴルフクラブ ゴルフ用品 カーボンシャフト パット ゴルフパター ゴルフのアイアン ゴルフのパター ゴルフアイアン ゴルフドライバー,粗大ごみ,,ゴルフバッグとゴルフクラブ、ゴルフクラブセット（14本まで）を1個の粗大ごみとして出すことができます。/ブラインド・すだれ・ロールカーテン・カーテンレール・ゴルフクラブ・スキー板・スキーストック・バット・竹刀・木刀・釣竿・パラソル（ビーチ・ゴルフ用）・パイプ・物干竿・角材・幹・丸太・根株・スクリーン（ロール式のみ、台は除く）・モップ・デッキブラシ・空気入れは、5本までを1個の粗大ごみとして出すことができます。,
